2026-03-08 04:05:13,082 | Router | INFO | Getting the loaded model
2026-03-08 04:05:13,082 | Router | INFO | Model retieved from the cache successfully
2026-03-08 04:05:13,087 | Router | INFO | Data request recieved successfully
2026-03-08 04:05:13,135 | Router | INFO | requested data:        Time        V1        V2        V3        V4        V5        V6  ...       V23       V24       V25       V26       V27       V28  Amount
0     406.0 -2.312227  1.951992 -1.609851  3.997906 -0.522188 -1.426545  ... -0.465211  0.320198  0.044519  0.177840  0.261145 -0.143276    0.00
1  100000.0 -1.359807 -0.072781  2.536347  1.378155 -0.338321  0.462388  ... -0.110474  6.066928  0.128539 -0.189115  0.133558 -0.021053  149.62
2     472.0 -3.043541 -3.157307  1.088463  2.288644  1.359805 -1.064823  ...  1.375966 -0.293803  0.279798 -0.145362 -0.252773  0.035764  529.00
3    7526.0  0.008430  4.137837 -6.238699  6.681959  1.487356 -2.455610  ... -0.539528  0.128940  1.488481  0.507963  0.735822  0.513574    1.00

[4 rows x 30 columns]
2026-03-08 04:05:13,135 | Router | INFO | Cleaning the data
2026-03-08 04:05:13,135 | Preprocessing | INFO | Capitalizing the columns
2026-03-08 04:05:13,137 | Preprocessing | INFO | Making sure the numeric column are numers itself
2026-03-08 04:05:13,145 | Preprocessing | INFO | preprocessing completed
2026-03-08 04:05:13,145 | Router | INFO | Data has been cleaned
2026-03-08 04:05:13,145 | Router | INFO | Predicting the from the data
2026-03-08 04:05:13,187 | Router | INFO | Completed predictions
2026-03-08 04:05:13,187 | Router | INFO | adding to the result
2026-03-08 04:05:13,187 | Router | INFO | Predictions: [{'prediction': 'Fraud', 'fraud_probability': 0.899}, {'prediction': 'Good', 'fraud_probability': 0.0547}, {'prediction': 'Fraud', 'fraud_probability': 0.8558}, {'prediction': 'Fraud', 'fraud_probability': 0.9992}]
2026-03-08 04:05:13,188 | Router | INFO | Request completed successfully
2026-03-08 04:06:16,651 | Main App | INFO | Shutting down the application
2026-03-08 04:06:16,653 | Main App | INFO | Model state has been deleted
2026-03-08 04:06:18,006 | Model Loader | INFO | Loading the configuration
2026-03-08 04:06:18,009 | Model Loader | INFO | Getting the path
