2026-03-06 03:47:33,224 | Main Runner | INFO | Starting the Model training Pipeline
2026-03-06 03:47:33,225 | Pipeline Runner | INFO | Loading the configurations
2026-03-06 03:47:33,227 | Pipeline Runner | INFO | Configurations loadded successfully
2026-03-06 03:47:33,227 | Pipeline Runner | INFO | Getting the run type
2026-03-06 03:47:33,227 | Pipeline Runner | INFO | Run type is file
2026-03-06 03:47:33,227 | Pipeline Runner | INFO | Running in file mode
2026-03-06 03:47:33,227 | Pipeline Runner | ERROR | Pipeline run has failed: File doesnt exists in the path
2026-03-06 03:47:33,227 | Main Runner | INFO | Model Training Pipeline Ended
2026-03-06 03:47:52,356 | Main Runner | INFO | Starting the Model training Pipeline
2026-03-06 03:47:52,357 | Pipeline Runner | INFO | Loading the configurations
2026-03-06 03:47:52,359 | Pipeline Runner | INFO | Configurations loadded successfully
2026-03-06 03:47:52,359 | Pipeline Runner | INFO | Getting the run type
2026-03-06 03:47:52,359 | Pipeline Runner | INFO | Run type is DBRUN
2026-03-06 03:47:52,359 | Pipeline Runner | INFO | Fetching the database run configuration
2026-03-06 03:47:52,359 | Pipeline Runner | INFO | Fetched all the database configurations
2026-03-06 03:47:52,359 | Pipeline Runner | INFO | Extracting the data from the database
2026-03-06 03:47:52,359 | Data Extraction | INFO | Checking for the data path directory
2026-03-06 03:47:52,360 | Data Extraction | INFO | Checking for the data path directory exists
2026-03-06 03:47:52,360 | Data Extraction | INFO | Getting the SQL query
2026-03-06 03:47:52,360 | Data Extraction | INFO | SQL query retrieved successfully
2026-03-06 03:47:52,360 | Data Extraction | INFO | Creating the data base connection string
2026-03-06 03:47:52,360 | Data Extraction | INFO | Data base connection string formed successfully
2026-03-06 03:47:52,916 | Data Extraction | ERROR | Failed to extract data: ORA-00942: table or view does not exist
Help: https://docs.oracle.com/error-help/db/ora-00942/
2026-03-06 03:47:52,917 | Data Extraction | ERROR | Failed to close the connection
2026-03-06 03:47:52,917 | Pipeline Runner | ERROR | Pipeline run has failed: Could not extract the data from the database
2026-03-06 03:47:52,917 | Main Runner | INFO | Model Training Pipeline Ended
2026-03-06 03:48:34,963 | Main Runner | INFO | Starting the Model training Pipeline
2026-03-06 03:48:34,964 | Pipeline Runner | INFO | Loading the configurations
2026-03-06 03:48:34,966 | Pipeline Runner | INFO | Configurations loadded successfully
2026-03-06 03:48:34,967 | Pipeline Runner | INFO | Getting the run type
2026-03-06 03:48:34,967 | Pipeline Runner | INFO | Run type is DBRUN
2026-03-06 03:48:34,967 | Pipeline Runner | INFO | Fetching the database run configuration
2026-03-06 03:48:34,967 | Pipeline Runner | INFO | Fetched all the database configurations
2026-03-06 03:48:34,967 | Pipeline Runner | INFO | Extracting the data from the database
2026-03-06 03:48:34,967 | Data Extraction | INFO | Checking for the data path directory
2026-03-06 03:48:34,967 | Data Extraction | INFO | Checking for the data path directory exists
2026-03-06 03:48:34,967 | Data Extraction | INFO | Getting the SQL query
2026-03-06 03:48:34,967 | Data Extraction | INFO | SQL query retrieved successfully
2026-03-06 03:48:34,967 | Data Extraction | INFO | Creating the data base connection string
2026-03-06 03:48:34,968 | Data Extraction | INFO | Data base connection string formed successfully
2026-03-06 03:48:37,805 | Data Extraction | INFO | Progress: 50000 rows extracted
2026-03-06 03:48:39,019 | Data Extraction | INFO | Progress: 100000 rows extracted
2026-03-06 03:48:40,172 | Data Extraction | INFO | Progress: 150000 rows extracted
2026-03-06 03:48:41,349 | Data Extraction | INFO | Progress: 200000 rows extracted
2026-03-06 03:48:42,483 | Data Extraction | INFO | Progress: 250000 rows extracted
2026-03-06 03:48:43,324 | Data Extraction | INFO | Progress: 284807 rows extracted
2026-03-06 03:48:43,359 | Data Extraction | INFO | Extraction successfully completed. Total rows: 284807
2026-03-06 03:48:43,360 | Data Extraction | ERROR | Failed to close the connection
2026-03-06 03:48:43,360 | Pipeline Runner | INFO | Data Extraction completed successfully
2026-03-06 03:48:43,360 | Pipeline Runner | INFO | Reading the data from the path
2026-03-06 03:48:44,395 | Pipeline Runner | INFO | Data has been read
2026-03-06 03:48:44,396 | Pipeline Runner | INFO | Proceeding to clean the data
2026-03-06 03:48:44,396 | Preprocessing | INFO | Cleaning the data file
2026-03-06 03:48:44,451 | Preprocessing | ERROR | Failed to Clean the data: 'Class'
2026-03-06 03:48:44,457 | Pipeline Runner | ERROR | Pipeline run has failed: Unable to clean the data file
2026-03-06 03:48:44,461 | Main Runner | INFO | Model Training Pipeline Ended
2026-03-06 03:56:28,170 | Main Runner | INFO | Starting the Model training Pipeline
2026-03-06 03:56:28,171 | Pipeline Runner | INFO | Loading the configurations
2026-03-06 03:56:28,173 | Pipeline Runner | INFO | Configurations loadded successfully
2026-03-06 03:56:28,173 | Pipeline Runner | INFO | Getting the run type
2026-03-06 03:56:28,173 | Pipeline Runner | INFO | Run type is DBRUN
2026-03-06 03:56:28,173 | Pipeline Runner | INFO | Fetching the database run configuration
2026-03-06 03:56:28,173 | Pipeline Runner | INFO | Fetched all the database configurations
2026-03-06 03:56:28,174 | Pipeline Runner | INFO | Extracting the data from the database
2026-03-06 03:56:28,174 | Data Extraction | INFO | Checking for the data path directory
2026-03-06 03:56:28,174 | Data Extraction | INFO | Checking for the data path directory exists
2026-03-06 03:56:28,174 | Data Extraction | INFO | Getting the SQL query
2026-03-06 03:56:28,174 | Data Extraction | INFO | SQL query retrieved successfully
2026-03-06 03:56:28,174 | Data Extraction | INFO | Creating the data base connection string
2026-03-06 03:56:28,175 | Data Extraction | INFO | Data base connection string formed successfully
2026-03-06 03:56:30,169 | Data Extraction | INFO | Progress: 50000 rows extracted
2026-03-06 03:56:31,398 | Data Extraction | INFO | Progress: 100000 rows extracted
2026-03-06 03:56:32,544 | Data Extraction | INFO | Progress: 150000 rows extracted
2026-03-06 03:56:33,731 | Data Extraction | INFO | Progress: 200000 rows extracted
2026-03-06 03:56:34,879 | Data Extraction | INFO | Progress: 250000 rows extracted
2026-03-06 03:56:35,716 | Data Extraction | INFO | Progress: 284807 rows extracted
2026-03-06 03:56:35,752 | Data Extraction | INFO | Extraction successfully completed. Total rows: 284807
2026-03-06 03:56:35,752 | Pipeline Runner | INFO | Data Extraction completed successfully
2026-03-06 03:56:35,753 | Pipeline Runner | INFO | Reading the data from the path
2026-03-06 03:56:36,804 | Pipeline Runner | INFO | Data has been read
2026-03-06 03:56:36,804 | Pipeline Runner | INFO | Proceeding to clean the data
2026-03-06 03:56:36,804 | Preprocessing | INFO | Cleaning the data file
2026-03-06 03:56:36,858 | Preprocessing | INFO | Completed cleaning the file
2026-03-06 03:56:36,858 | Pipeline Runner | INFO | Data has been cleaned
2026-03-06 03:56:36,858 | Pipeline Runner | INFO | Fetching the feature that needs to be predicted
