2026-03-08 07:56:04,318 | Main | INFO | Initializing the multi treading process
2026-03-08 07:56:04,319 | Main | INFO | Initialization completed
2026-03-08 07:56:04,319 | Main | INFO | Starting the producer and consumer thread
2026-03-08 07:56:05,002 | Producer | INFO | Loading the config
2026-03-08 07:56:05,003 | Producer | INFO | Config Loaded
2026-03-08 07:56:05,003 | Producer | INFO | Loading the topic, host and port name
2026-03-08 07:56:05,004 | Producer | INFO | Loading completed
2026-03-08 07:56:05,004 | Producer | INFO | Creating the kafka producer
2026-03-08 07:56:05,008 | Consumer | INFO | Loading the config
2026-03-08 07:56:05,009 | Consumer | INFO | Config loaded successfully
2026-03-08 07:56:05,009 | Consumer | INFO | Loading the url, topic name, host, port, output file and path
2026-03-08 07:56:05,009 | Consumer | INFO | successfull in loading the artifacts for the run
2026-03-08 07:56:05,174 | Producer | INFO | Generating the transaction
2026-03-08 07:56:05,177 | Producer | INFO | Transaction has been generated
2026-03-08 07:56:05,177 | Producer | INFO | {'Time': 152460, 'Amount': 741.2133244693813, 'V1': 0.6008659239649825, 'V2': 0.5755842567183534, 'V3': -0.4746451292888498, 'V4': 0.037735563420436664, 'V5': 0.4044154291018498, 'V6': 0.9520832066932753, 'V7': -0.07771925107337456, 'V8': -0.042440588071409754, 'V9': 0.7028907967689001, 'V10': 0.8304225175543452, 'V11': -0.9679434359999536, 'V12': -1.0798495783532938, 'V13': 0.12802438226981, 'V14': -0.1216370599360793, 'V15': 0.1859694400374356, 'V16': 1.7407270317905594, 'V17': -0.023561489910242844, 'V18': -0.058946467906184165, 'V19': 0.7415579944852452, 'V20': -1.1135812689591, 'V21': -1.1724756390597195, 'V22': -0.48104097149740793, 'V23': -2.0740943802339245, 'V24': 0.31197691918069276, 'V25': -0.8709642963415503, 'V26': 0.8084006091317268, 'V27': -0.2193711525861701, 'V28': 0.13219900596946352}
2026-03-08 07:56:05,327 | Producer | INFO | Transaction sent
2026-03-08 07:56:05,414 | Consumer | INFO | Recieved the message
2026-03-08 07:56:05,414 | Consumer | INFO | Sending the transaction to the backend
2026-03-08 07:56:05,493 | Consumer | INFO | recieved the response
2026-03-08 07:56:05,493 | Consumer | INFO | {'Time': 152460, 'Amount': 741.2133244693813, 'V1': 0.6008659239649825, 'V2': 0.5755842567183534, 'V3': -0.4746451292888498, 'V4': 0.037735563420436664, 'V5': 0.4044154291018498, 'V6': 0.9520832066932753, 'V7': -0.07771925107337456, 'V8': -0.042440588071409754, 'V9': 0.7028907967689001, 'V10': 0.8304225175543452, 'V11': -0.9679434359999536, 'V12': -1.0798495783532938, 'V13': 0.12802438226981, 'V14': -0.1216370599360793, 'V15': 0.1859694400374356, 'V16': 1.7407270317905594, 'V17': -0.023561489910242844, 'V18': -0.058946467906184165, 'V19': 0.7415579944852452, 'V20': -1.1135812689591, 'V21': -1.1724756390597195, 'V22': -0.48104097149740793, 'V23': -2.0740943802339245, 'V24': 0.31197691918069276, 'V25': -0.8709642963415503, 'V26': 0.8084006091317268, 'V27': -0.2193711525861701, 'V28': 0.13219900596946352, 'prediction': {'detail': 'Not Found'}}
2026-03-08 07:56:05,505 | Consumer | ERROR | Failed in kafka consumer process: Cannot save file into a non-existent directory: 'E:\PythonCertificates\Credit Card Fraud Detection\Fraudapp\data'
2026-03-08 07:56:07,329 | Producer | INFO | Generating the transaction
2026-03-08 07:56:07,329 | Producer | INFO | Transaction has been generated
2026-03-08 07:56:07,330 | Producer | INFO | {'Time': 122968, 'Amount': 898.7538588786794, 'V1': -0.2089188799910351, 'V2': -0.1251631951517424, 'V3': 0.06763004362802473, 'V4': 0.8497871329103319, 'V5': 0.8791305994023839, 'V6': 0.14916661146333646, 'V7': 1.2751534037604357, 'V8': -1.931972270351459, 'V9': 0.8296378125845598, 'V10': -0.1387240157889076, 'V11': 1.0335281331324446, 'V12': -2.2178678007698, 'V13': 0.2817350303185947, 'V14': -0.9097393882254198, 'V15': 0.9107747600217089, 'V16': -0.20497148233393978, 'V17': 0.9938794623690529, 'V18': -0.5508994421109619, 'V19': 1.7060812302356998, 'V20': 0.3307211123999639, 'V21': -0.18980525028526724, 'V22': 0.3216858069501939, 'V23': -0.32924300553109137, 'V24': -1.22335648187603, 'V25': 0.3426705656493643, 'V26': -0.8124896633797232, 'V27': -0.5466494079092212, 'V28': 0.1869192158011077}
2026-03-08 07:56:07,331 | Producer | INFO | Transaction sent
2026-03-08 07:56:09,332 | Producer | INFO | Generating the transaction
2026-03-08 07:56:09,332 | Producer | INFO | Transaction has been generated
2026-03-08 07:56:09,332 | Producer | INFO | {'Time': 121048, 'Amount': 945.5464012111474, 'V1': -0.8194121055152775, 'V2': -0.06941584831577995, 'V3': -0.5409396647226229, 'V4': 0.09124736361522007, 'V5': -2.099897298809657, 'V6': -1.278603322252306, 'V7': 1.4297790866002273, 'V8': 2.0657296664039255, 'V9': 0.11600990660566314, 'V10': -0.06985530092204956, 'V11': 0.5073234455788644, 'V12': -0.3879364251812322, 'V13': 1.0637860883267518, 'V14': -0.3074862143857575, 'V15': -0.35338956606879884, 'V16': -0.9031698380142713, 'V17': -1.8929885618812694, 'V18': 2.185525641678125, 'V19': 0.20769241819232137, 'V20': -1.5759720970364255, 'V21': -0.6582855226577313, 'V22': 0.9760626733014527, 'V23': -0.29682649038824727, 'V24': 1.7957199703616045, 'V25': 1.3737706463322747, 'V26': 0.4900165223096059, 'V27': 0.5868916859652887, 'V28': 0.4828840596375648}
2026-03-08 07:56:09,333 | Producer | INFO | Transaction sent
2026-03-08 07:56:11,334 | Producer | INFO | Generating the transaction
2026-03-08 07:56:11,335 | Producer | INFO | Transaction has been generated
2026-03-08 07:56:11,335 | Producer | INFO | {'Time': 168432, 'Amount': 427.23753279248376, 'V1': 0.33966086668664336, 'V2': -0.11569560485151313, 'V3': -0.09188376252692225, 'V4': 0.49204155599872995, 'V5': 0.5791525975597049, 'V6': 0.20071370628722315, 'V7': 0.573891630541184, 'V8': -0.1328491821586141, 'V9': 0.20057623692983106, 'V10': -0.6927453222866937, 'V11': -0.2470074653537632, 'V12': 0.6155468041900259, 'V13': -0.43133913474281216, 'V14': 0.7988632588248918, 'V15': 0.1643647008473636, 'V16': -0.04720065331577794, 'V17': 1.0713030760136693, 'V18': -2.7620188448743406, 'V19': 0.3039446562594269, 'V20': 1.0043759108428045, 'V21': -0.35681097006135154, 'V22': 0.6343096447256218, 'V23': -1.1569889710768537, 'V24': 2.3725859999106147, 'V25': 0.6324914720832562, 'V26': -0.24368159826039665, 'V27': -0.9892725349150242, 'V28': 0.029786980587746505}
2026-03-08 07:56:11,335 | Producer | INFO | Transaction sent
2026-03-08 07:56:13,336 | Producer | INFO | Generating the transaction
2026-03-08 07:56:13,336 | Producer | INFO | Transaction has been generated
2026-03-08 07:56:13,337 | Producer | INFO | {'Time': 151181, 'Amount': 873.6925740202186, 'V1': 0.28596913221309117, 'V2': -0.6852105684402855, 'V3': 0.27689347255787267, 'V4': -0.38334239561024147, 'V5': 0.7437717895858307, 'V6': -0.23468538139931508, 'V7': 0.6043211267965138, 'V8': -0.281902668483134, 'V9': 0.1490436700466186, 'V10': 1.143665687419076, 'V11': -1.8656484540957785, 'V12': -0.09904254947697486, 'V13': -0.9495450843995394, 'V14': 1.251455780645136, 'V15': 0.6453228286019991, 'V16': -1.6494933156261842, 'V17': -1.4493732385300435, 'V18': 2.1691527632394108, 'V19': -0.5606016968438867, 'V20': -0.10053559741136181, 'V21': 0.3533099663486098, 'V22': 0.9809061912559577, 'V23': -1.115090483417414, 'V24': 1.3491078763787838, 'V25': 0.4670922094916324, 'V26': -1.1681918286023254, 'V27': -0.5758700397417297, 'V28': 1.0557814322212669}
2026-03-08 07:56:13,337 | Producer | INFO | Transaction sent
2026-03-08 07:56:15,339 | Producer | INFO | Generating the transaction
2026-03-08 07:56:15,339 | Producer | INFO | Transaction has been generated
2026-03-08 07:56:15,339 | Producer | INFO | {'Time': 172329, 'Amount': 83.9296212193915, 'V1': -0.5728080185603243, 'V2': 0.6486743444742343, 'V3': 1.1630203384172624, 'V4': 0.6785634227008123, 'V5': -0.4350052880756498, 'V6': -0.21203618789803022, 'V7': -0.6312072210593208, 'V8': -0.17304398789368408, 'V9': 1.4071043893039297, 'V10': -0.29997864637179145, 'V11': 1.2072190598400292, 'V12': -1.6495276196875208, 'V13': -0.26450768753071324, 'V14': -0.3336416722824635, 'V15': -1.8679139210416382, 'V16': 0.5876754412214008, 'V17': 0.07899803584450799, 'V18': -0.2287722878867873, 'V19': 0.798136122406663, 'V20': 1.1427043276631947, 'V21': 1.6171440375904236, 'V22': 0.3764834527003306, 'V23': 1.413453300261875, 'V24': 0.7049685069155928, 'V25': -1.507862325086603, 'V26': 0.34245666677158587, 'V27': -0.7775483929436027, 'V28': 1.5429637961300902}
2026-03-08 07:56:15,340 | Producer | INFO | Transaction sent
2026-03-08 07:56:17,341 | Producer | INFO | Generating the transaction
2026-03-08 07:56:17,341 | Producer | INFO | Transaction has been generated
